"","fsl","wash","capacity_gaps","protection","shelter","health","impact","education","calculated_msni"
"151",3,2,2,3,1,1,1,1,3
"152",4,2,2,3,1,1,1,1,4
"153",1,3,2,3,1,1,1,1,3
"154",2,3,2,3,1,1,1,1,3
"155",3,3,2,3,1,1,1,1,3
"156",4,3,2,3,1,1,1,1,4
"157",1,4,2,3,1,1,1,1,4
"158",2,4,2,3,1,1,1,1,4
"159",3,4,2,3,1,1,1,1,4
"160",4,4,2,3,1,1,1,1,4
"161",1,1,3,3,1,1,1,1,3
"162",2,1,3,3,1,1,1,1,3
"163",3,1,3,3,1,1,1,1,3
"164",4,1,3,3,1,1,1,1,4
"165",1,2,3,3,1,1,1,1,3
"166",2,2,3,3,1,1,1,1,3
"167",3,2,3,3,1,1,1,1,3
"168",4,2,3,3,1,1,1,1,4
"169",1,3,3,3,1,1,1,1,3
"170",2,3,3,3,1,1,1,1,3
"171",3,3,3,3,1,1,1,1,3
"172",4,3,3,3,1,1,1,1,4
"173",1,4,3,3,1,1,1,1,4
"174",2,4,3,3,1,1,1,1,4
"175",3,4,3,3,1,1,1,1,4
"176",4,4,3,3,1,1,1,1,4
"177",1,1,4,3,1,1,1,1,4
"178",2,1,4,3,1,1,1,1,4
"179",3,1,4,3,1,1,1,1,4
"180",4,1,4,3,1,1,1,1,4
"181",1,2,4,3,1,1,1,1,4
"182",2,2,4,3,1,1,1,1,4
"183",3,2,4,3,1,1,1,1,4
"184",4,2,4,3,1,1,1,1,4
"185",1,3,4,3,1,1,1,1,4
"186",2,3,4,3,1,1,1,1,4
"187",3,3,4,3,1,1,1,1,4
"188",4,3,4,3,1,1,1,1,4
"189",1,4,4,3,1,1,1,1,4
"190",2,4,4,3,1,1,1,1,4
"191",3,4,4,3,1,1,1,1,4
"192",4,4,4,3,1,1,1,1,4
"193",1,1,1,4,1,1,1,1,4
"194",2,1,1,4,1,1,1,1,4
"195",3,1,1,4,1,1,1,1,4
"196",4,1,1,4,1,1,1,1,4
"197",1,2,1,4,1,1,1,1,4
"198",2,2,1,4,1,1,1,1,4
"199",3,2,1,4,1,1,1,1,4
